COLUMN_NAME,DISTINCT_VALUES,NULL_COUNT
ACCOUNT_AGE_YEARS,300,0
ACCOUNT_BALANCE,828209,0
CITY,20,0
COUNTRY,10,0
CREDIT_SCORE,509,0
CUSTOMER_AGE,68,0
CUSTOMER_ID,198662,0
DEVICE_TYPE,5,0
DISTANCE_FROM_HOME_KM,1814,0
FAILED_ATTEMPTS,6,0
FRAUD_TYPE,7,0
HOUR_OF_DAY,24,0
IS_FRAUD,2,0
IS_INTERNATIONAL,2,0
IS_NIGHT_TRANSACTION,2,0
IS_WEEKEND,2,0
MERCHANT_CATEGORY,15,0
NUM_PREV_TRANSACTIONS,114,0
PAYMENT_METHOD,6,0
PIN_CHANGED_RECENTLY,2,0
TIME_SINCE_LAST_TXN_HRS,8798,0
TRANSACTION_AMOUNT,114727,0
TRANSACTION_DATE,1826,0
TRANSACTION_FREQ_MONTHLY,43,0
TRANSACTION_ID,1000000,0
TRANSACTION_TIME,1440,0
